target,date,sample_count,top10_count,top50_count,ic,rank_ic,universe_mean_target,top10_mean_target,top50_mean_target,top10_excess_target,top50_excess_target
Y_future_5d_return,2025-04-10,100,10,50,-0.08292131050812378,0.036125888591543934,0.009103143915499186,0.0004362998194214705,0.008643332464228994,-0.008666844096077715,-0.0004598114512701923
Y_future_5d_return,2025-04-11,100,10,50,0.15486700750903845,-0.019964655310028435,0.00399109301333678,0.01397593633186566,0.003949322676235856,0.00998484331852888,-4.1770337100923566e-05
Y_future_5d_return,2025-04-14,100,10,50,0.04230204722626281,0.1215488841839116,0.003114597926125054,-0.0037993801648817395,0.00358004864769596,-0.0069139780910067936,0.00046545072157090596
Y_future_5d_return,2025-04-15,100,10,50,-0.20181929360037476,-0.2135279151418716,0.0062020801162039115,-0.003269305552340959,0.003430840544003922,-0.009471385668544871,-0.0027712395721999896
Y_future_5d_return,2025-04-16,100,10,50,0.6785276105161425,0.684940713409223,0.015814906159739715,0.0392792894121034,0.02525354533424748,0.023464383252363687,0.009438639174507765
Y_future_5d_return,2025-04-17,100,10,50,0.32638284213344476,0.3508041292922352,0.009111480750704525,0.022420978353339168,0.012862163503855543,0.013309497602634644,0.003750682753151019
Y_future_5d_return,2025-04-18,100,10,50,0.4572307309099491,0.4294882372903737,0.012725721531149007,0.04110939472123292,0.019540514364222394,0.028383673190083912,0.006814792833073386
Y_future_5d_return,2025-04-21,100,10,50,0.411385241003206,0.36099308866819263,0.0015933847131173644,0.02756863102864567,0.007449376377640755,0.025975246315528305,0.005855991664523391
Y_future_5d_return,2025-04-22,100,10,50,0.4250502955625085,0.31168651938779757,0.0005529514818994586,0.01856401976202745,0.005508309888975153,0.018011068280127992,0.004955358407075694
Y_future_5d_return,2025-04-23,100,10,50,-0.060960274205039536,-0.05590159015901589,0.00037046344345181793,0.005228187802189482,0.0002433126754552322,0.004857724358737664,-0.00012715076799658573
Y_future_5d_return,2025-04-24,100,10,50,0.21685232982905087,0.22610261026102607,0.019679291121393126,0.03463055695471543,0.024649285543920242,0.014951265833322305,0.004969994422527116
Y_future_5d_return,2025-04-25,100,10,50,-0.09439023274743778,-0.08501752196858244,0.016633535837435015,0.018004029422472027,0.014494479963382483,0.0013704935850370123,-0.0021390558740525326
Y_future_5d_return,2025-04-28,100,10,50,0.04922755570003403,0.004740488270313176,0.02483259064225626,0.029730283993779378,0.024842000629323402,0.004897693351523118,9.409987067141717e-06
