traditional_model,model_label,llm_name,scenario_name,variant,report_path,performance_report_path,run_name,cumulative_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,win_rate,total_periods,cumulative_return_net,annual_return_net,annual_volatility_net,sharpe_ratio_net,max_drawdown_net,win_rate_net,market_benchmark_name,market_benchmark_code,market_benchmark_path,market_benchmark_metrics_path,market_benchmark_cumulative_return,market_benchmark_annual_return,market_benchmark_sharpe_ratio,market_benchmark_max_drawdown,market_benchmark_cumulative_return_net,market_benchmark_annual_return_net,market_benchmark_sharpe_ratio_net,market_benchmark_max_drawdown_net,benchmark_equal_weight_path,benchmark_equal_weight_metrics_path,benchmark_equal_weight_cumulative_return,benchmark_equal_weight_annual_return,benchmark_equal_weight_sharpe_ratio,benchmark_equal_weight_max_drawdown,benchmark_equal_weight_cumulative_return_net,benchmark_equal_weight_annual_return_net,benchmark_equal_weight_sharpe_ratio_net,benchmark_equal_weight_max_drawdown_net
random_forest,RandomForest,baseline,default,baseline,runs/backtests/random_forest/deepseek_chat/default/reports/report_summary.html,runs/backtests/random_forest/deepseek_chat/default/performance_report.json,RandomForest baseline,0.4426820747388167,0.48703886786436645,0.2020511534312965,2.4104730885883034,-0.11955862066397693,0.673469387755102,49.0,0.3778105492423549,0.41830736563684234,0.20186385534343537,2.072225188234748,-0.1255692744724073,0.6326530612244898,沪深300ETF,510300,runs/backtests/random_forest/benchmarks/default/hs300_etf/backtest_results.csv,runs/backtests/random_forest/benchmarks/default/hs300_etf/benchmark_metrics.json,0.2618337546134133,0.2808491242197795,2.1537781855474747,-0.08769638928209045,0.2599580604454059,0.2788841174025145,2.139389820624518,-0.08769638928209056,runs/backtests/random_forest/benchmarks/default/equal_weight/backtest_results.csv,runs/backtests/random_forest/benchmarks/default/equal_weight/benchmark_metrics.json,0.2832555894118207,0.30606299976245066,2.094266847045004,-0.11309008570523982,0.2813383578770863,0.3040600854997437,2.0802463874161385,-0.11309008570523982
random_forest,RandomForest,deepseek_chat,default,llm,runs/backtests/random_forest/deepseek_chat/default/reports/report_summary.html,runs/backtests/random_forest/deepseek_chat/default/performance_report.json,RandomForest DeepSeek,0.42039616813622893,0.4651087849728279,0.20773948062399084,2.238904148483342,-0.12531590531248937,0.673469387755102,49.0,0.354099912613296,0.39480369404238,0.20748593381537614,1.9027973934545452,-0.1311554233094755,0.6326530612244898,沪深300ETF,510300,runs/backtests/random_forest/benchmarks/default/hs300_etf/backtest_results.csv,runs/backtests/random_forest/benchmarks/default/hs300_etf/benchmark_metrics.json,0.2618337546134133,0.2808491242197795,2.1537781855474747,-0.08769638928209045,0.2599580604454059,0.2788841174025145,2.139389820624518,-0.08769638928209056,runs/backtests/random_forest/benchmarks/default/equal_weight/backtest_results.csv,runs/backtests/random_forest/benchmarks/default/equal_weight/benchmark_metrics.json,0.2832555894118207,0.30606299976245066,2.094266847045004,-0.11309008570523982,0.2813383578770863,0.3040600854997437,2.0802463874161385,-0.11309008570523982
random_forest,RandomForest,gemini_2_5_flash_lite,default,llm,runs/backtests/random_forest/gemini_2_5_flash_lite/default/reports/report_summary.html,runs/backtests/random_forest/gemini_2_5_flash_lite/default/performance_report.json,RandomForest Gemini,0.492768260939614,0.5410909296090727,0.2052315422209644,2.6364901016360447,-0.11835974725730436,0.673469387755102,49.0,0.4218618617407677,0.4658647983486137,0.2050789112907406,2.2716367832095457,-0.12478796113027946,0.6530612244897959,沪深300ETF,510300,runs/backtests/random_forest/benchmarks/default/hs300_etf/backtest_results.csv,runs/backtests/random_forest/benchmarks/default/hs300_etf/benchmark_metrics.json,0.2618337546134133,0.2808491242197795,2.1537781855474747,-0.08769638928209045,0.2599580604454059,0.2788841174025145,2.139389820624518,-0.08769638928209056,runs/backtests/random_forest/benchmarks/default/equal_weight/backtest_results.csv,runs/backtests/random_forest/benchmarks/default/equal_weight/benchmark_metrics.json,0.2832555894118207,0.30606299976245066,2.094266847045004,-0.11309008570523982,0.2813383578770863,0.3040600854997437,2.0802463874161385,-0.11309008570523982
linear,LinearRegression,baseline,default,baseline,runs/backtests/linear/deepseek_chat/default/reports/report_summary.html,runs/backtests/linear/deepseek_chat/default/performance_report.json,LinearRegression baseline,0.2241336915229193,0.2621699406889779,0.22441747250129826,1.1682242820351756,-0.17251660459440676,0.6326530612244898,49.0,0.1638323241013424,0.19829228686541622,0.22427761935405108,0.8841376479584722,-0.19389705094811494,0.6326530612244898,沪深300ETF,510300,runs/backtests/linear/benchmarks/default/hs300_etf/backtest_results.csv,runs/backtests/linear/benchmarks/default/hs300_etf/benchmark_metrics.json,0.2618337546134133,0.2808491242197795,2.1537781855474747,-0.08769638928209045,0.2599580604454059,0.2788841174025145,2.139389820624518,-0.08769638928209056,runs/backtests/linear/benchmarks/default/equal_weight/backtest_results.csv,runs/backtests/linear/benchmarks/default/equal_weight/benchmark_metrics.json,0.2832555894118207,0.30606299976245066,2.094266847045004,-0.11309008570523982,0.2813383578770863,0.3040600854997437,2.0802463874161385,-0.11309008570523982
linear,LinearRegression,deepseek_chat,default,llm,runs/backtests/linear/deepseek_chat/default/reports/report_summary.html,runs/backtests/linear/deepseek_chat/default/performance_report.json,LinearRegression DeepSeek,0.24854592026463407,0.28905811984791296,0.2278683773831634,1.268531084336719,-0.1428446984653864,0.6530612244897959,49.0,0.18494068413789688,0.22159150066359445,0.2277240465600635,0.9730702752339703,-0.16444360127571456,0.6326530612244898,沪深300ETF,510300,runs/backtests/linear/benchmarks/default/hs300_etf/backtest_results.csv,runs/backtests/linear/benchmarks/default/hs300_etf/benchmark_metrics.json,0.2618337546134133,0.2808491242197795,2.1537781855474747,-0.08769638928209045,0.2599580604454059,0.2788841174025145,2.139389820624518,-0.08769638928209056,runs/backtests/linear/benchmarks/default/equal_weight/backtest_results.csv,runs/backtests/linear/benchmarks/default/equal_weight/benchmark_metrics.json,0.2832555894118207,0.30606299976245066,2.094266847045004,-0.11309008570523982,0.2813383578770863,0.3040600854997437,2.0802463874161385,-0.11309008570523982
linear,LinearRegression,gemini_2_5_flash_lite,default,llm,runs/backtests/linear/gemini_2_5_flash_lite/default/reports/report_summary.html,runs/backtests/linear/gemini_2_5_flash_lite/default/performance_report.json,LinearRegression Gemini,0.3389249340855913,0.38451357892942273,0.22663651201153623,1.6966091452636292,-0.15691900030114103,0.6326530612244898,49.0,0.27080911898776305,0.31215097853210083,0.226491050284102,1.378204472717797,-0.16475382709085296,0.6326530612244898,沪深300ETF,510300,runs/backtests/linear/benchmarks/default/hs300_etf/backtest_results.csv,runs/backtests/linear/benchmarks/default/hs300_etf/benchmark_metrics.json,0.2618337546134133,0.2808491242197795,2.1537781855474747,-0.08769638928209045,0.2599580604454059,0.2788841174025145,2.139389820624518,-0.08769638928209056,runs/backtests/linear/benchmarks/default/equal_weight/backtest_results.csv,runs/backtests/linear/benchmarks/default/equal_weight/benchmark_metrics.json,0.2832555894118207,0.30606299976245066,2.094266847045004,-0.11309008570523982,0.2813383578770863,0.3040600854997437,2.0802463874161385,-0.11309008570523982
lightgbm,LightGBM,baseline,default,baseline,runs/backtests/lightgbm/deepseek_chat/default/reports/report_summary.html,runs/backtests/lightgbm/deepseek_chat/default/performance_report.json,LightGBM baseline,0.32591253865822556,0.3576738091184237,0.17859517379812107,2.0027070245623104,-0.12041990889876097,0.6530612244897959,49.0,0.26496197394278265,0.29361884390190895,0.17885288033434418,1.6416780280699055,-0.13488521753400629,0.6530612244897959,沪深300ETF,510300,runs/backtests/lightgbm/benchmarks/default/hs300_etf/backtest_results.csv,runs/backtests/lightgbm/benchmarks/default/hs300_etf/benchmark_metrics.json,0.2618337546134133,0.2808491242197795,2.1537781855474747,-0.08769638928209045,0.2599580604454059,0.2788841174025145,2.139389820624518,-0.08769638928209056,runs/backtests/lightgbm/benchmarks/default/equal_weight/backtest_results.csv,runs/backtests/lightgbm/benchmarks/default/equal_weight/benchmark_metrics.json,0.2832555894118207,0.30606299976245066,2.094266847045004,-0.11309008570523982,0.2813383578770863,0.3040600854997437,2.0802463874161385,-0.11309008570523982
lightgbm,LightGBM,deepseek_chat,default,llm,runs/backtests/lightgbm/deepseek_chat/default/reports/report_summary.html,runs/backtests/lightgbm/deepseek_chat/default/performance_report.json,LightGBM DeepSeek,0.38498343795490064,0.4198893247946007,0.17850993146422564,2.352190275075809,-0.1038189705078919,0.7142857142857143,49.0,0.3160713191022826,0.3473661901506362,0.17872641364521483,1.9435638139093632,-0.11163357260908502,0.7142857142857143,沪深300ETF,510300,runs/backtests/lightgbm/benchmarks/default/hs300_etf/backtest_results.csv,runs/backtests/lightgbm/benchmarks/default/hs300_etf/benchmark_metrics.json,0.2618337546134133,0.2808491242197795,2.1537781855474747,-0.08769638928209045,0.2599580604454059,0.2788841174025145,2.139389820624518,-0.08769638928209056,runs/backtests/lightgbm/benchmarks/default/equal_weight/backtest_results.csv,runs/backtests/lightgbm/benchmarks/default/equal_weight/benchmark_metrics.json,0.2832555894118207,0.30606299976245066,2.094266847045004,-0.11309008570523982,0.2813383578770863,0.3040600854997437,2.0802463874161385,-0.11309008570523982
lightgbm,LightGBM,gemini_2_5_flash_lite,default,llm,runs/backtests/lightgbm/gemini_2_5_flash_lite/default/reports/report_summary.html,runs/backtests/lightgbm/gemini_2_5_flash_lite/default/performance_report.json,LightGBM Gemini,0.38478299112862513,0.4206389040585541,0.18256772556116974,2.304015689331782,-0.12069251300035466,0.6938775510204082,49.0,0.3194356843931052,0.35180494865101863,0.1826947348772497,1.9256436092008453,-0.12579870906464208,0.6938775510204082,沪深300ETF,510300,runs/backtests/lightgbm/benchmarks/default/hs300_etf/backtest_results.csv,runs/backtests/lightgbm/benchmarks/default/hs300_etf/benchmark_metrics.json,0.2618337546134133,0.2808491242197795,2.1537781855474747,-0.08769638928209045,0.2599580604454059,0.2788841174025145,2.139389820624518,-0.08769638928209056,runs/backtests/lightgbm/benchmarks/default/equal_weight/backtest_results.csv,runs/backtests/lightgbm/benchmarks/default/equal_weight/benchmark_metrics.json,0.2832555894118207,0.30606299976245066,2.094266847045004,-0.11309008570523982,0.2813383578770863,0.3040600854997437,2.0802463874161385,-0.11309008570523982
xgboost,XGBoost,baseline,default,baseline,runs/backtests/xgboost/deepseek_chat/default/reports/report_summary.html,runs/backtests/xgboost/deepseek_chat/default/performance_report.json,XGBoost baseline,0.36378343316481776,0.39976978324083956,0.18744180508369238,2.1327674638127987,-0.11895736790321898,0.7142857142857143,49.0,0.30314546536638964,0.3358154186303177,0.1873526542031445,1.7924241322260457,-0.12551506909490717,0.7142857142857143,沪深300ETF,510300,runs/backtests/xgboost/benchmarks/default/hs300_etf/backtest_results.csv,runs/backtests/xgboost/benchmarks/default/hs300_etf/benchmark_metrics.json,0.2618337546134133,0.2808491242197795,2.1537781855474747,-0.08769638928209045,0.2599580604454059,0.2788841174025145,2.139389820624518,-0.08769638928209056,runs/backtests/xgboost/benchmarks/default/equal_weight/backtest_results.csv,runs/backtests/xgboost/benchmarks/default/equal_weight/benchmark_metrics.json,0.2832555894118207,0.30606299976245066,2.094266847045004,-0.11309008570523982,0.2813383578770863,0.3040600854997437,2.0802463874161385,-0.11309008570523982
