target,date,sample_count,top10_count,top50_count,ic,rank_ic,universe_mean_target,top10_mean_target,top50_mean_target,top10_excess_target,top50_excess_target
Y_future_5d_return,2025-04-10,100,10,50,-0.11307383966407374,-0.03343144939260652,0.009103143915499186,-0.0012171050603534794,0.007996303700051277,-0.010320248975852665,-0.001106840215447909
Y_future_5d_return,2025-04-11,100,10,50,0.013932756203109882,-0.17724557375783287,0.00399109301333678,0.00702263861536242,0.0025612788677112862,0.0030315456020256403,-0.0014298141456254936
Y_future_5d_return,2025-04-14,100,10,50,0.0388039960491299,0.022676403699200334,0.003114597926125054,0.0024749351423906697,0.002330411884878838,-0.0006396627837343843,-0.0007841860412462162
Y_future_5d_return,2025-04-15,100,10,50,-0.23227588048243672,-0.19486582498643035,0.0062020801162039115,-0.0004362828636655401,0.003252286052470184,-0.006638362979869451,-0.0029497940637337274
Y_future_5d_return,2025-04-16,100,10,50,0.6464440229594557,0.6654625318514861,0.015814906159739715,0.04431189229751174,0.02552950534730887,0.02849698613777203,0.009714599187569155
Y_future_5d_return,2025-04-17,100,10,50,0.3257866697832067,0.3464114264518726,0.009111480750704525,0.02521697781345844,0.012582336349315808,0.016105497062753917,0.003470855598611284
Y_future_5d_return,2025-04-18,100,10,50,0.42383863512654457,0.47429485237192887,0.012725721531149007,0.03387178060029157,0.02049918852020323,0.02114605906914256,0.007773466989054222
Y_future_5d_return,2025-04-21,100,10,50,0.41758116959705327,0.2949073424474865,0.0015933847131173644,0.027826021982927156,0.005866328899061131,0.026232637269809792,0.004272944185943766
Y_future_5d_return,2025-04-22,100,10,50,0.4634560215261557,0.3145308891571477,0.0005529514818994586,0.03383326217638062,0.006921055961795399,0.03328031069448116,0.00636810447989594
Y_future_5d_return,2025-04-23,100,10,50,-0.02779872553359485,-0.007836783678367836,0.00037046344345181793,0.00633454451826332,0.0012311812443958278,0.005964081074811502,0.0008607178009440099
Y_future_5d_return,2025-04-24,100,10,50,0.31452488997183914,0.34090609060906085,0.019679291121393126,0.033366829044814736,0.024726677624380553,0.01368753792342161,0.005047386502987427
Y_future_5d_return,2025-04-25,100,10,50,0.01634840672668142,0.08423743459874083,0.016633535837435015,0.03261498526405893,0.016895565736143828,0.01598144942662391,0.00026202989870881266
Y_future_5d_return,2025-04-28,100,10,50,0.09780361376044763,0.13764817776292906,0.02483259064225626,0.0361915752696144,0.028736691912260057,0.011358984627358137,0.003904101270003797
Y_future_5d_return,2025-04-29,100,10,50,0.18367195309573778,0.17742574257425742,0.019604075862440805,0.02759601381124572,0.01995202774395954,0.007991937948804914,0.0003479518815187356
Y_future_5d_return,2025-04-30,100,10,50,0.1715589574534351,0.1733954202995594,0.025149981532645617,0.048133542428973455,0.026638814971734388,0.02298356089632784,0.0014888334390887707
Y_future_5d_return,2025-05-06,100,10,50,0.24561686057228466,0.21721037266936247,0.012573789360755523,0.02183351013566289,0.01669344297426469,0.009259720774907368,0.004119653613509166
Y_future_5d_return,2025-05-07,100,10,50,0.14474014998566143,-0.008592859285928591,0.020777982830438108,0.027595892715269865,0.023595302215154792,0.006817909884831757,0.0028173193847166843
Y_future_5d_return,2025-05-08,100,10,50,0.15638694101130307,0.1452449602315575,0.00458265127473762,0.021161834316854634,0.00672459005740064,0.016579183042117016,0.00214193878266302
Y_future_5d_return,2025-05-09,100,10,50,0.027854862541520656,0.01929314482089929,0.007448802063325332,0.010335012196677628,0.0074004903715020245,0.0028862101333522964,-4.831169182330751e-05
Y_future_5d_return,2025-05-12,100,10,50,-0.23241577901094476,-0.11502584766282692,-0.0020034850863258065,-0.013636808620716992,-0.003692817301992884,-0.011633323534391185,-0.0016893322156670775
Y_future_5d_return,2025-05-13,100,10,50,-0.19129077966024974,-0.16329322819315661,0.0036995880890138776,-0.0027829390782743305,0.001241600279054054,-0.006482527167288208,-0.0024579878099598236
Y_future_5d_return,2025-05-14,100,10,50,-0.31157448049055964,-0.14671511165716095,-0.001639941003197442,-0.0117167017643904,-0.005379985887885226,-0.010076760761192956,-0.0037400448846877836
Y_future_5d_return,2025-05-15,100,10,50,-0.11246671073617007,-0.051485766409545254,0.0037547711298588564,0.00557600567223353,0.0030662603199174037,0.001821234542374674,-0.0006885108099414527
Y_future_5d_return,2025-05-16,100,10,50,-0.15422783520083805,0.05335149520424614,-0.001323022882367793,-0.003851300636858459,-0.0009298336463848099,-0.002528277754490666,0.0003931892359829832
Y_future_5d_return,2025-05-19,100,10,50,-0.09475935916554502,0.04242424242424242,-0.003493538520056626,-0.00320104192664315,-0.003274872143115745,0.00029249659341347564,0.00021866637694088102
Y_future_5d_return,2025-05-20,100,10,50,-0.10557687431800167,-0.01906447839077093,-0.013538120494697062,-0.0112893980475068,-0.013740008510600555,0.002248722447190262,-0.00020188801590349283
Y_future_5d_return,2025-05-21,100,10,50,0.0023572912306906264,0.058181818181818175,-0.017895079013014844,-0.017556037023935538,-0.017264126407878687,0.0003390419890793063,0.0006309526051361571
Y_future_5d_return,2025-05-22,99,10,50,-0.17905395799205273,-0.16338949718537352,-0.0007808335915544193,-0.0030617523962843396,-0.0012319089720339619,-0.0022809188047299206,-0.0004510753804795426
Y_future_5d_return,2025-05-23,100,10,50,-0.14612753852215773,-0.10210327347150375,-0.0005842306544227171,0.0022668532032066803,-0.0027225102360307414,0.0028510838576293975,-0.002138279581608024
Y_future_5d_return,2025-05-26,100,10,50,-0.09911636877056447,0.03630973152058781,0.005531978316239903,0.00551901184375726,0.004653888868549384,-1.296647248264296e-05,-0.0008780894476905195
