model,date,candidate_pred_std,candidate_return_std,top10_mean_return,top50_mean_return,top10_excess_within_top50,candidate_size,top10_size
random_forest,2025-04-10,0.00784097420912414,0.01850192005755516,0.0063612656513739,0.0077330956041517,-0.0013718299527778,50,10
random_forest,2025-04-11,0.007154385178325568,0.018949003717043698,0.0048468963373685,0.0024657386039908,0.0023811577333777,50,10
random_forest,2025-04-14,0.006998267993046233,0.013993052615632055,0.0019196381642629,0.0047218790129408,-0.0028022408486779006,50,10
random_forest,2025-04-15,0.007101577813965694,0.01902328121363907,-0.0007208361553544,0.0066994042153829,-0.0074202403707373,50,10
random_forest,2025-04-16,0.009372476140040163,0.01946978303118028,0.0403156069499217,0.0252188502220551,0.0150967567278666,50,10
random_forest,2025-04-17,0.008565760896821173,0.013258530208011756,0.0207131292213301,0.0100575193650406,0.010655609856289501,50,10
random_forest,2025-04-18,0.007906667689653082,0.016675456296727148,0.0317071009006906,0.0148710518908732,0.016836049009817403,50,10
random_forest,2025-04-21,0.0063270863221712974,0.023801872610986433,0.0284328368904896,0.0052801377321992,0.0231526991582904,50,10
random_forest,2025-04-22,0.006556749918660258,0.021861996006212716,0.0249313456250815,0.005336485059666,0.0195948605654155,50,10
random_forest,2025-04-23,0.006622557758603855,0.014984091589035294,0.0047550583979948,0.0011064465609541,0.0036486118370406997,50,10
random_forest,2025-04-24,0.006944696965057029,0.026560154583149358,0.0368548554988109,0.0246321706630305,0.0122226848357804,50,10
random_forest,2025-04-25,0.006177799392514422,0.021822588418841885,0.0179360425595168,0.0134373602280452,0.0044986823314716005,50,10
random_forest,2025-04-28,0.006061688481908535,0.02645231617188832,0.0261775040045676,0.0230403197148278,0.0031371842897397993,50,10
random_forest,2025-04-29,0.005829801197798905,0.019830047953659977,0.0235436095187604,0.0197494449519773,0.003794164566783099,50,10
random_forest,2025-04-30,0.005936294270830612,0.025330896011667072,0.0403488201273567,0.0264803055323067,0.01386851459505,50,10
random_forest,2025-05-06,0.0065685732389489495,0.026197378075037005,0.0306496781330564,0.0178371200373991,0.0128125580956573,50,10
random_forest,2025-05-07,0.007057812840603487,0.028248090328017925,0.0284633309617169,0.0228934962509782,0.0055698347107387,50,10
random_forest,2025-05-08,0.0062335225447855145,0.022976672248804814,0.015923728672255,0.0133468714052929,0.0025768572669621,50,10
random_forest,2025-05-09,0.004371128148637468,0.01641265607154168,0.0147719331036254,0.0067803634012233,0.007991569702402099,50,10
random_forest,2025-05-12,0.0065920375639313715,0.015151937781824883,-0.0014250747697867,-0.0018256196278953,0.0004005448581086001,50,10
random_forest,2025-05-13,0.0049893384930381575,0.01371620483222391,-0.000139164977492,0.0046882739750296,-0.0048274389525216005,50,10
random_forest,2025-05-14,0.0042129305055828865,0.015448272840774182,-0.0095275044720847,-0.0013299765177447,-0.00819752795434,50,10
random_forest,2025-05-15,0.0034202140730481994,0.013737604526555425,0.0025734302252908,0.0002421550373798,0.002331275187911,50,10
random_forest,2025-05-16,0.002892478626384333,0.012999030349489267,-0.0012064506510767,-0.000158845512154,-0.0010476051389226998,50,10
random_forest,2025-05-19,0.0026443620817459207,0.009522047796809843,-0.0010869901982257,-0.0023400510170911,0.0012530608188653998,50,10
random_forest,2025-05-20,0.0022394314123394044,0.010906358282452911,-0.0048484077858118,-0.011505447369142,0.0066570395833302,50,10
random_forest,2025-05-21,0.0027832584686237395,0.012467499918287403,-0.0137179094449274,-0.0151115352386545,0.0013936257937270987,50,10
random_forest,2025-05-22,0.002806674744651759,0.01300688198643523,0.0084155323321996,-0.0020703325174474,0.010485864849647,50,10
random_forest,2025-05-23,0.004473777579540947,0.011939898005600311,0.0067807613393613,0.0008749667473199,0.0059057945920414,50,10
random_forest,2025-05-26,0.0026692552167549843,0.015620623128848163,0.0069691449076765,0.0064510263066401,0.0005181186010364,50,10
random_forest,2025-05-27,0.0024563609316527136,0.01698936635086609,0.0112507392699744,0.0168860620041239,-0.0056353227341495,50,10
random_forest,2025-05-28,0.002411029784163029,0.016805983928440987,0.0150797270688491,0.0175429356696338,-0.0024632086007846995,50,10
random_forest,2025-05-29,0.003194390717163982,0.013870444317612127,0.0156439966525299,0.0106459771063631,0.004998019546166799,50,10
random_forest,2025-05-30,0.0026542610742115646,0.015905269943476994,0.0156282333594078,0.0171700858589578,-0.0015418524995499984,50,10
random_forest,2025-06-03,0.002832180337159757,0.011589965276409108,0.0091834458013462,0.0106913181869476,-0.0015078723856014001,50,10
random_forest,2025-06-04,0.0020431165708719055,0.01581788415509711,0.0124965684079001,0.0124454132934491,5.115511445099967e-05,50,10
random_forest,2025-06-05,0.0022073192803271956,0.021986718031317052,0.0185478771129766,0.0093911302916687,0.0091567468213079,50,10
random_forest,2025-06-06,0.0018990911070211264,0.02391777528404707,0.0003436843626929,0.0043556626718404,-0.0040119783091474995,50,10
random_forest,2025-06-09,0.003779964945097898,0.015653923651391788,0.0035034046956504,0.0006216528680491,0.0028817518276013,50,10
random_forest,2025-06-10,0.001592868687052445,0.01603868792832127,-0.0052085567577712,-0.0018374962447664,-0.0033710605130048005,50,10
random_forest,2025-06-11,0.002915928649088966,0.016181099011960628,-0.0059659477103561,-0.0088890824350812,0.0029231347247250994,50,10
random_forest,2025-06-12,0.0023046054376848323,0.019415780040492384,-0.0206402555370065,-0.0172763432255664,-0.003363912311440103,50,10
random_forest,2025-06-13,0.006390090044394622,0.019347032485899328,-0.0201273549455245,-0.0136082891105942,-0.0065190658349302995,50,10
random_forest,2025-06-16,0.003662633350049813,0.014475656275521482,-0.0066314825012514,-0.0104353504988127,0.0038038679975613008,50,10
random_forest,2025-06-17,0.004542030541169004,0.012269384205450163,-0.0008673819727569,0.0041724931301922,-0.0050398751029491,50,10
random_forest,2025-06-18,0.0035015701116963443,0.01682510428317333,0.0028557352233992,0.0163209357987419,-0.0134652005753427,50,10
