target,date,sample_count,top10_count,top50_count,ic,rank_ic,universe_mean_target,top10_mean_target,top50_mean_target,top10_excess_target,top50_excess_target
Y_future_5d_return,2025-04-10,100,10,50,-0.0666403403586806,-0.03920439039344792,0.009103143915499186,0.0063612656513739995,0.007733095604151732,-0.0027418782641251867,-0.0013700483113474543
Y_future_5d_return,2025-04-11,100,10,50,0.06683478610342382,-0.10408384320782782,0.00399109301333678,0.004846896337368549,0.002465738603990828,0.0008558033240317689,-0.0015253544093459517
Y_future_5d_return,2025-04-14,100,10,50,0.06747236859418379,0.16271324760717548,0.003114597926125054,0.0019196381642629802,0.00472187901294089,-0.0011949597618620739,0.0016072810868158357
Y_future_5d_return,2025-04-15,100,10,50,-0.06799170519857822,0.010117133119637915,0.0062020801162039115,-0.0007208361553544499,0.006699404215382925,-0.006922916271558361,0.0004973240991790135
Y_future_5d_return,2025-04-16,100,10,50,0.5769259843566251,0.5610748404225293,0.015814906159739715,0.04031560694992176,0.025218850222055115,0.02450070079018205,0.0094039440623154
Y_future_5d_return,2025-04-17,100,10,50,0.22185367942470816,0.2794407110168365,0.009111480750704525,0.020713129221330194,0.010057519365040658,0.01160164847062567,0.0009460386143361338
Y_future_5d_return,2025-04-18,100,10,50,0.2185524417221187,0.27555438210259664,0.012725721531149007,0.03170710090069064,0.01487105189087329,0.018981379369541633,0.0021453303597242825
Y_future_5d_return,2025-04-21,100,10,50,0.27855541547053475,0.21624297980119006,0.0015933847131173644,0.02843283689048969,0.005280137732199232,0.026839452177372325,0.0036867530190818672
Y_future_5d_return,2025-04-22,100,10,50,0.41924958198542733,0.3084821028122006,0.0005529514818994586,0.02493134562508156,0.005336485059666044,0.024378394143182103,0.004783533577766586
Y_future_5d_return,2025-04-23,100,10,50,0.05537582949639312,0.058949894989498944,0.00037046344345181793,0.004755058397994891,0.0011064465609541805,0.004384594954543073,0.0007359831175023626
Y_future_5d_return,2025-04-24,100,10,50,0.20981902744305314,0.22097809780978098,0.019679291121393126,0.03685485549881095,0.024632170663030504,0.017175564377417823,0.004952879541637378
Y_future_5d_return,2025-04-25,100,10,50,-0.1823445750796988,-0.1552493879426288,0.016633535837435015,0.017936042559516897,0.013437360228045283,0.0013025067220818823,-0.003196175609389732
Y_future_5d_return,2025-04-28,100,10,50,-0.08619822852573039,-0.10507682291323296,0.02483259064225626,0.026177504004567687,0.023040319714827864,0.001344913362311427,-0.0017922709274283966
