日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,momentum_20,volatility_20,volume_mean_20,return_mean_20,amplitude_mean_20,turnover_mean_20,MA_5,MA_10,Y_next_day_return,Y_future_5d_return,Y_future_10d_return,Y_future_5d_vol_change,Y_future_10d_vol_change
2021-07-19,0.97,0.984,0.988,0.97,697276,68524230.0,1.85,1.34,0.013,1.9,,,,,,,,,0.004065040650406582,-0.10162601626016254,-0.07520325203252032,,
2021-07-20,0.975,0.988,0.995,0.975,410428,40456496.0,2.03,0.41,0.004,1.12,,,,,,,,,0.007085020242914908,-0.12246963562753033,-0.04352226720647778,,
2021-07-21,0.999,0.995,0.999,0.985,164230,16267784.0,1.42,0.71,0.007,0.45,,,,,,,,,-0.018090452261306567,-0.09547738693467334,-0.0592964824120602,,
2021-07-22,0.996,0.977,0.997,0.973,276474,27146486.0,2.41,-1.81,-0.018,0.76,,,,,,,,,-0.03480040941658136,-0.05527123848515858,-0.05117707267144311,,
2021-07-23,0.977,0.943,0.977,0.937,198675,18838183.0,4.09,-3.48,-0.034,0.54,,,,,,,0.9773999999999999,,-0.06256627783669133,-0.04665959703075284,-0.0445387062566277,,
2021-07-26,0.928,0.884,0.95,0.867,247888,22140864.0,8.8,-6.26,-0.059,0.68,,,,,,,0.9574,,-0.019230769230769273,0.02941176470588247,0.02262443438914019,-0.03557293217725188,
2021-07-27,0.878,0.867,0.892,0.866,187370,16470667.0,2.94,-1.92,-0.017,0.51,,,,,,,0.9332,,0.03806228373702436,0.08996539792387548,0.05420991926182239,0.04315818222210033,
2021-07-28,0.867,0.9,0.902,0.859,204295,17885676.0,4.96,3.81,0.033,0.56,,,,,,,0.9141999999999999,,0.025555555555555554,0.040000000000000036,-0.004444444444444473,-0.2909194577622304,
2021-07-29,0.908,0.923,0.929,0.908,89783,8265546.0,2.33,2.56,0.023,0.25,,,,,,,0.9034000000000001,,-0.02600216684723733,0.004333694474539573,-0.044420368364030405,-0.4060492045762214,
2021-07-30,0.918,0.899,0.925,0.882,102534,9189093.0,4.66,-2.6,-0.024,0.28,,,,,,,0.8946,0.9359999999999999,0.012235817575083408,0.0022246941045607205,-0.024471635150166926,-0.3761823907011226,
2021-08-02,0.899,0.91,0.913,0.866,116344,10329727.0,5.23,1.22,0.011,0.32,,,,,,,0.8998000000000002,0.9286,0.038461538461538325,-0.00659340659340657,-0.036263736263736246,-0.11163041656309325,-0.3857423532377069
2021-08-03,0.91,0.945,0.951,0.898,134311,12501368.0,5.82,3.85,0.035,0.37,,,,,,,0.9154,0.9243,-0.009523809523809379,-0.032804232804232725,-0.11322751322751323,-0.4414705624768577,-0.5185947284439377
2021-08-04,0.945,0.936,0.945,0.91,99362,9247631.0,3.7,-0.95,-0.009,0.27,,,,,,,0.9226000000000001,0.9183999999999999,-0.009615384615384581,-0.042735042735042805,-0.10576923076923084,-0.3839505752484754,-0.5054837550733263
2021-08-05,0.936,0.927,0.943,0.921,133097,12362492.0,2.35,-0.96,-0.009,0.36,,,,,,,0.9234,0.9134,-0.028047464940668898,-0.04854368932038844,-0.09600862998921256,-0.34269472830707526,-0.48825524707818146
2021-08-06,0.927,0.901,0.927,0.893,168939,15277216.0,3.67,-2.8,-0.026,0.46,,,,,,,0.9238,0.9091999999999999,0.0033296337402886067,-0.02663706992230852,-0.13429522752497225,-0.49730681627782547,-0.23201471954829467
2021-08-09,0.9,0.904,0.915,0.891,92678,8375685.0,2.66,0.33,0.003,0.25,,,,,,,0.9226000000000001,0.9112,0.01106194690265494,-0.02986725663716816,-0.12942477876106195,-0.5025398588716755,0.01145320320642318
2021-08-10,0.907,0.914,0.914,0.884,137120,12315516.0,3.32,1.11,0.01,0.37,,,,,,,0.9164000000000001,0.9159,-0.01969365426695846,-0.08315098468271342,-0.10503282275711168,0.15316957686048904,0.23521401321269853
2021-08-11,0.914,0.896,0.914,0.895,168056,15162833.0,2.08,-1.97,-0.018,0.46,,,,,,,0.9084000000000001,0.9155,-0.015625,-0.0658482142857143,-0.07924107142857151,0.14782072637805954,0.35292782056172345
2021-08-12,0.896,0.882,0.902,0.88,124286,11028849.0,2.46,-1.56,-0.014,0.34,,,,,,,0.8994,0.9114000000000001,-0.005668934240362855,-0.049886621315192836,-0.0941043083900226,0.18654104712856467,0.49586317480486497
2021-08-13,0.889,0.877,0.889,0.87,101884,8980774.0,2.15,-0.57,-0.005,0.28,,,192751.5,-0.477,3.4465000000000003,0.5265000000000001,0.8946,0.9092,0.0,-0.11060433295324967,-0.09578107183580387,1.5259212890193097,0.6046603835396318
2021-08-16,0.877,0.877,0.882,0.871,122370,10735776.0,1.25,0.0,0.0,0.33,-0.108739837398374,0.024569574888516604,164006.2,-0.5439999999999999,3.4165000000000005,0.44799999999999995,0.8892,0.9059000000000001,-0.04446978335233753,-0.10262257696693267,-0.10946408209806158,1.7694927689885422,0.6524289685883191
2021-08-17,0.877,0.838,0.88,0.835,300993,25887763.0,5.13,-4.45,-0.039,0.82,-0.15182186234817818,0.02593900324383196,158534.45,-0.787,3.5715000000000003,0.433,0.874,0.8952,-0.0011933174224343368,-0.023866348448687402,-0.07756563245823378,1.3165909350783935,0.7630428014946253
2021-08-18,0.84,0.837,0.854,0.833,178429,14984025.0,2.51,-0.12,-0.001,0.49,-0.1587939698492462,0.025753065227015818,159244.4,-0.8285,3.6260000000000003,0.43499999999999994,0.8622,0.8853,0.0011947431302270495,-0.014336917562724039,-0.06810035842293904,1.1826711332619708,0.753043026584691
2021-08-19,0.844,0.838,0.849,0.836,135769,11429242.0,1.55,0.12,0.001,0.37,-0.14227226202661214,0.025727869767652997,152209.15,-0.732,3.5830000000000006,0.41550000000000004,0.8533999999999999,0.8764,-0.0692124105011932,-0.046539379474940246,-0.09785202863961806,1.1693322619663529,0.7534535057524754
2021-08-20,0.835,0.78,0.836,0.774,284568,22641348.0,7.4,-6.92,-0.058,0.78,-0.17285259809119824,0.028647002725909896,156503.8,-0.9039999999999999,3.7485,0.42750000000000005,0.834,0.8643000000000001,0.008974358974358942,0.016666666666666607,-0.02564102564102566,-0.19824431583581936,-0.14559424805699506
2021-08-23,0.78,0.787,0.79,0.767,202533,15796755.0,2.95,0.9,0.007,0.55,-0.10972850678733026,0.025952356150830774,154236.05,-0.546,3.4559999999999995,0.421,0.8160000000000001,0.8526,0.039390088945362,-0.007623888182973326,0.02414231257941557,-0.21159980341637907,0.1461267740483061
2021-08-24,0.792,0.818,0.818,0.789,302383,24319315.0,3.68,3.94,0.031,0.83,-0.056516724336793556,0.02757598070647522,159986.7,-0.253,3.493,0.437,0.8119999999999999,0.843,0.008557457212713837,-0.055012224938875254,-0.02078239608801946,-0.6374672708802626,-0.11736724705364088
2021-08-25,0.829,0.825,0.829,0.809,159781,13068024.0,2.44,0.86,0.007,0.44,-0.08333333333333337,0.026035787442950303,157761.0,-0.4005000000000001,3.367,0.43099999999999994,0.8096,0.8359,-0.031515151515151385,-0.05454545454545445,-0.043636363636363584,-0.6369928741070743,-0.12781667525196705
2021-08-26,0.817,0.799,0.825,0.795,291677,23500091.0,3.64,-3.15,-0.026,0.8,-0.13434452871072589,0.025750239870495503,167855.7,-0.6859999999999999,3.4325,0.4585,0.8018000000000001,0.8276,-0.007509386733416723,-0.053817271589486904,-0.008760951188986232,-0.6596896838693322,-0.20963375308650944
2021-08-27,0.798,0.793,0.813,0.792,412266,33037381.0,2.63,-0.75,-0.006,1.13,-0.11790878754171297,0.025356013367752017,183342.3,-0.5935,3.3310000000000004,0.501,0.8044,0.8192,-0.015132408575031508,-0.04161412358133676,-0.007566204287515754,-0.37794588156835374,-0.2102617498388335
2021-08-30,0.793,0.781,0.797,0.779,349404,27448315.0,2.27,-1.51,-0.012,0.95,-0.1417582417582418,0.025060056130428998,194995.3,-0.7300000000000001,3.183,0.5325,0.8032,0.8096,-0.010243277848911658,0.03201024327784885,0.007682458386683688,0.25980972450429163,-0.22409270719700158
2021-08-31,0.782,0.773,0.79,0.771,290607,22623510.0,2.43,-1.02,-0.008,0.79,-0.18201058201058196,0.022626142743748027,202810.1,-0.9735000000000001,3.0135,0.5535,0.7942,0.8031,0.009055627425614388,0.036222509702457995,0.03363518758085382,1.3167714767278542,-0.1603127286107109
2021-09-01,0.775,0.78,0.786,0.751,464901,35703181.0,4.53,0.91,0.007,1.27,-0.16666666666666674,0.023013882359638745,221087.05,-0.8805,3.055,0.6035,0.7852,0.7974,-0.03076923076923077,0.011538461538461497,0.014102564102564052,1.3877307645679426,-0.16367467702789185
2021-09-02,0.783,0.756,0.783,0.752,405110,31079936.0,3.97,-3.08,-0.024,1.11,-0.18446601941747576,0.023532707799236552,234687.7,-0.9865000000000002,3.136,0.641,0.7766,0.7892,0.005291005291005346,0.04761904761904767,0.05687830687830697,1.0622893853374382,-0.28021804012163154
2021-09-03,0.756,0.76,0.768,0.745,407341,30920251.0,3.04,0.53,0.004,1.11,-0.15649278579356274,0.02335788927160849,246607.8,-0.8200000000000001,3.1045,0.6735,0.77,0.7872,0.06052631578947376,0.03552631578947363,0.10789473684210527,0.8874463981595397,0.2302989225732046
2021-09-06,0.761,0.806,0.81,0.757,434704,34195640.0,6.97,6.05,0.046,1.19,-0.1084070796460177,0.027904014225138024,263709.1,-0.534,3.3200000000000003,0.7205,0.775,0.7891,-0.006203473945409432,-0.023573200992555887,0.048387096774193505,-0.7888305317390536,-0.3313833208592043
2021-09-07,0.805,0.801,0.805,0.79,364839,29038004.0,1.86,-0.62,-0.005,1.0,-0.12363238512035013,0.027635361263192538,275095.05,-0.6205,3.247,0.752,0.7806000000000001,0.7874,-0.014981273408239737,-0.0024968789013732895,0.04993757802746557,-0.6621949855179801,-0.25954099170322853
2021-09-08,0.801,0.789,0.809,0.783,345998,27363973.0,3.25,-1.5,-0.012,0.94,-0.1194196428571428,0.02753427386640677,283992.15,-0.5970000000000001,3.3055,0.776,0.7824,0.7838,0.0038022813688212143,0.0025348542458809575,0.07351077313054488,-0.7184102850294691,-0.3105765653498678
2021-09-09,0.788,0.792,0.799,0.784,271908,21549760.0,1.9,0.38,0.003,0.74,-0.10204081632653061,0.027518660109710893,291373.25,-0.5000000000000001,3.2775,0.796,0.7896,0.7831,-0.0063131313131312705,0.008838383838383868,0.08207070707070696,-0.6380176093618419,-0.26021869864796565
2021-09-10,0.789,0.787,0.791,0.779,284853,22380184.0,1.52,-0.63,-0.005,0.78,-0.10262257696693267,0.02751985469254103,300521.7,-0.5030000000000001,3.246,0.8210000000000001,0.795,0.7825,0.0,0.0698856416772553,0.08386277001270637,-0.1999089498512946,-0.26483517904358733
2021-09-13,0.791,0.787,0.807,0.782,348821,27710085.0,3.18,0.0,0.0,0.95,-0.10262257696693267,0.02751985469254103,311844.25,-0.5030000000000001,3.3425000000000002,0.8520000000000001,0.7912000000000001,0.7831,0.015247776365946653,0.07369758576874208,0.0698856416772553,2.339932650626109,-0.20255422224752906
2021-09-14,0.783,0.799,0.806,0.783,479501,38358093.0,2.92,1.52,0.012,1.31,-0.046539379474940246,0.026225529486164363,320769.65,-0.2045,3.232,0.8765000000000001,0.7908000000000001,0.7857000000000001,-0.010012515644555742,0.052565707133917394,0.07008760951188986,1.2475560370400292,-0.2029968010085006
2021-09-15,0.798,0.791,0.804,0.786,374903,29732792.0,2.25,-1.0,-0.008,1.02,-0.054958183990441944,0.026284414948475478,330593.35,-0.24850000000000003,3.2190000000000003,0.9029999999999999,0.7912,0.7868,0.010113780025284402,0.07079646017699104,0.07585335018963324,1.3379432171105003,-0.2309501627019689
2021-09-16,0.788,0.799,0.809,0.779,392519,31118809.0,3.79,1.01,0.008,1.07,-0.046539379474940246,0.026425552139613895,343430.85,-0.20400000000000001,3.3310000000000004,0.938,0.7926,0.7911,0.05381727158948668,0.07259073842302866,0.038798498122653235,1.1383303868729029,-0.011651044429086488
2021-09-17,0.799,0.842,0.847,0.791,471443,38713957.0,7.01,5.38,0.043,1.29,0.07948717948717943,0.02419288339061397,352774.6,0.4109999999999999,3.3115,0.9635,0.8036000000000001,0.7993,0.0035629453681709222,0.013064133016627011,-0.005938242280285055,-0.7006084686915985,-0.5327587855482951
2021-09-22,0.82,0.845,0.861,0.82,379116,32093991.0,4.87,0.36,0.003,1.04,0.07369758576874208,0.024165801653464988,361603.75,0.384,3.4074999999999998,0.9880000000000001,0.8152000000000001,0.8032,-0.004733727810650845,-0.0035502958579881616,0.008284023668639007,-0.5824771390354768,-0.304644858754307
2021-09-23,0.846,0.841,0.856,0.832,331475,27881961.0,2.84,-0.47,-0.004,0.91,0.028117359413202925,0.022719779345417357,363058.35,0.1635,3.3655,0.992,0.8236000000000001,0.8072000000000001,0.007134363852556502,0.01664684898929858,-0.009512485136741966,-0.5338036269093909,-0.20735091799733552
2021-09-24,0.847,0.847,0.855,0.833,310867,26277927.0,2.62,0.71,0.006,0.85,0.026666666666666616,0.022699154433711233,370612.65,0.156,3.3745000000000003,1.0125,0.8347999999999999,0.813,0.011806375442739103,0.0047225501770955525,-0.031877213695395534,-0.47417003338985075,-0.12925620275872607
2021-09-27,0.846,0.857,0.872,0.846,331356,28568676.0,3.07,1.18,0.01,0.9,0.07259073842302866,0.02140737079224881,372596.6,0.37249999999999994,3.346,1.0175,0.8464,0.8195,-0.004667444574095736,-0.031505250875145885,-0.06534422403733953,-0.35989479512938893,-0.11860329845782347
2021-09-28,0.857,0.853,0.867,0.842,294834,25219258.0,2.92,-0.47,-0.004,0.81,0.07566204287515754,0.021338209330749647,366725.0,0.38649999999999995,3.3605000000000005,1.0015,0.8486,0.8261,-0.01289566236811257,-0.01875732708089095,-0.048065650644783076,1.2095162923795293,-0.04153652467013491
2021-09-29,0.845,0.842,0.854,0.834,395843,33397152.0,2.34,-1.29,-0.011,1.08,0.0781049935979512,0.02123903086383386,369046.95,0.3975,3.3639999999999994,1.0080000000000002,0.8480000000000001,0.8316000000000001,0.015439429928741033,0.01187648456057011,-0.052256532066508266,0.7572019325189103,-0.08151399465134102
2021-09-30,0.842,0.855,0.856,0.842,231916,19722397.0,1.66,1.54,0.013,0.63,0.10608020698576959,0.02111002288339748,366112.4,0.5255,3.3255000000000003,1.0,0.8507999999999999,0.8371999999999999,-0.004678362573099393,-0.025730994152046827,-0.06666666666666665,0.5765874953357268,-0.155472451925184
2021-10-08,0.856,0.851,0.866,0.844,269342,23071046.0,2.57,-0.47,-0.004,0.74,0.09102564102564092,0.021203264200432774,356334.45,0.4565,3.2275,0.9734999999999999,0.8516,0.8431999999999998,-0.024676850763807323,-0.03642773207990602,-0.06345475910693299,0.5934552883701454,-0.1300408084568777
2021-10-11,0.855,0.83,0.859,0.829,352520,29755382.0,3.53,-2.47,-0.021,0.96,0.0978835978835979,0.020706721767953927,353704.95,0.487,3.2055,0.966,0.8462,0.8462999999999999,0.008433734939758963,-0.034939759036144435,-0.028915662650602303,0.28967028183853305,-0.2591280437795963
2021-10-12,0.829,0.837,0.848,0.826,366852,30732115.0,2.65,0.84,0.007,1.0,0.10131578947368425,0.020721932237944708,351680.5,0.5025,3.186,0.9605,0.843,0.8457999999999999,0.017921146953405076,-0.029868578255674905,-0.03942652329749097,0.2464471435167197,0.23693282650976566
2021-10-13,0.831,0.852,0.854,0.828,328040,27461948.0,3.11,1.79,0.015,0.9,0.05707196029776673,0.01647114013444192,346347.3,0.2895,2.993,0.946,0.845,0.8465,-0.02230046948356812,-0.06338028169014076,-0.07746478873239426,-0.13097001411253129,0.0342799925795636
2021-10-14,0.854,0.833,0.854,0.828,445664,37434712.0,3.05,-2.23,-0.019,1.22,0.03995006242197241,0.01731153136126188,350388.55,0.209,3.0524999999999998,0.9570000000000001,0.8405999999999999,0.8457000000000001,-0.015606242496998823,-0.042016806722688926,-0.056422569027611,-0.19216741970003814,-0.13967235976572834
2021-10-15,0.827,0.82,0.827,0.814,481484,39442173.0,1.56,-1.56,-0.013,1.31,0.03929024081115329,0.017344521454682963,357162.85,0.20600000000000002,2.968,0.9755,0.8343999999999999,0.843,-0.023170731707316983,-0.028048780487804792,-0.02195121951219503,-0.23395666368345425,-0.04667114670373562
2021-10-18,0.818,0.801,0.818,0.795,443884,35608563.0,2.8,-2.32,-0.019,1.21,0.011363636363636465,0.018228835360049177,365761.65,0.07100000000000002,3.013,0.999,0.8286,0.8373999999999999,0.013732833957553092,0.006242197253433224,-0.02372034956304625,-0.3485493144552052,-0.04080928005775408
2021-10-19,0.795,0.812,0.816,0.795,454903,36814054.0,2.62,1.37,0.011,1.24,0.031766200762388896,0.018372249865531147,374264.15,0.171,3.068,1.022,0.8236000000000001,0.8333,-0.017241379310344862,-0.009852216748768461,-0.0431034482758621,-0.49374196091261324,-0.17244172165478844
